template_index,mode_index,mode,template_sample_id,template_location,template_anchor,template_coverage,pred_loss_wm2,target_loss_wm2,abs_error_wm2,score,image_l1_vs_input,coverage,coverage_base
24,0,keep,cairo_eg_20250412T090000Z_s2c_msil2a_20250412t0827,cairo_eg,2025-04-12T09:00:00+00:00,0.20682804038127264,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
25,0,keep,oslo_no_20250723T110000Z_s2c_msil2a_20250723t1050,oslo_no,2025-07-23T11:00:00+00:00,0.22943768898646036,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
26,0,keep,cairo_eg_20241123T090000Z_s2a_msil2a_20241123t0832,cairo_eg,2024-11-23T09:00:00+00:00,0.23586785793304443,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
27,0,keep,cairo_eg_20250127T090000Z_s2b_msil2a_20250127t0831,cairo_eg,2025-01-27T09:00:00+00:00,0.2009705106417338,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
28,0,keep,athens_gr_20250406T090000Z_s2a_msil2a_20250406t0913,athens_gr,2025-04-06T09:00:00+00:00,0.2494308054447174,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
29,0,keep,oslo_no_20250713T110000Z_s2c_msil2a_20250713t1050,oslo_no,2025-07-13T11:00:00+00:00,0.2464216947555542,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
30,0,keep,cairo_eg_20250201T090000Z_s2c_msil2a_20250201t0832,cairo_eg,2025-02-01T09:00:00+00:00,0.2397469381491343,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
31,0,keep,oslo_no_20250708T110000Z_s2b_msil2a_20250708t1046,oslo_no,2025-07-08T11:00:00+00:00,0.2746957540512085,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
32,0,keep,oslo_no_20250728T110000Z_s2b_msil2a_20250728t1046,oslo_no,2025-07-28T11:00:00+00:00,0.20504978050788245,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
33,0,keep,cairo_eg_20250206T090000Z_s2b_msil2a_20250206t0830,cairo_eg,2025-02-06T09:00:00+00:00,0.30462731420993805,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
34,0,keep,london_uk_20250810T110000Z_s2a_msil2a_20250810t1107,london_uk,2025-08-10T11:00:00+00:00,0.3868563671906789,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
35,0,keep,athens_gr_20250404T090000Z_s2c_msil2a_20250404t0906,athens_gr,2025-04-04T09:00:00+00:00,0.3417658781011899,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
36,0,keep,reykjavik_is_20250411T130000Z_s2b_msil2a_20250411t1312,reykjavik_is,2025-04-11T13:00:00+00:00,0.3695384015639623,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
37,0,keep,oslo_no_20250722T110000Z_s2a_msil2a_20250722t1037,oslo_no,2025-07-22T11:00:00+00:00,0.35635923345883685,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
38,0,keep,athens_gr_20250426T090000Z_s2a_msil2a_20250426t0913,athens_gr,2025-04-26T09:00:00+00:00,0.3280733823776245,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
39,0,keep,athens_gr_20250514T090000Z_s2c_msil2a_20250514t0906,athens_gr,2025-05-14T09:00:00+00:00,0.35581815739472705,93.61795806884766,100.0,6.382041931152344,6.382041931152344,0.0,0.4976651072502136,0.4976651072502136
